och;and
en dag;1. a day- 2. [~ in- ~ ut] day in- day out
själv;1. oneself- self (not reflexive pronoun)- 2. alone- by oneself
en människa;1. a person- 2. [~or] people (not a loan word)
ett land;a country
svensk;1. Swedish- i.e. having the Swedish nationality- 2. belonging to the territory of Sweden- 3. [är du ~ medborgare?] are you a Swedish citizen?
en fråga;1. a question- a matter- 2. [att ställa en ~] to ask a question- 3. [inga fler ~or?] any more questions?
oss;1. us- 2. [hos ~] a) in our country- b) at our place- at our house
att tro;1. to believe- 2. [att ~ på ngt] to believe in sth. or s.o.
en el;an electricity
att tycka;1. to think- to have an opinion- 2. [vad ~er du om boken?] what do you think of the book- what's your opinion of the book?
en kommentar;1. a comment- 2. a commentary- 3. [inga ~er!] (plural in Swedish) no comment!
att veta;to know (facts)
idag;today
att försöka;1. to try- to attempt- 2. to make an effort (not used for the sense of trying clothes- shoes etc)
att behöva;to need
samma;same
mellan;between
att känna;1. to feel- to sense- to smell- 2. to know (people)- 3. [att lära ~] to get to know- 4. [att ~ sig] to feel (tired- healthy etc.)
att läsa;1. to read- 2. to learn
att ro;to row
kanske;maybe (not: "måhända")
lik;1. like- alike- similar- 2. [hon var sig ~] she hadn't changed a bit
dels;partly (usually used in the sense of "on the one hand X- on the other hand Y)
framför allt;above all- especially
positiv;positive (loan word)
rolig;funny (in both senses- i.e. amusing and strange)- entertaining- comical
en port;1. a front door- 2. a street door- 3. a gate- a gateway- 4. a porthole- 5. [helvetets ~ar] the gates of hell
att bero;1. to depend- 2. [det ~r på] it depends
en kropp;1. a body- 2. [~sspråk] body language
att minnas;1. to remember- to recall- 2. [om jag ~ rätt] if I recall correctly
en handling;1. an action- a deed- 2. a plot- action (of a story)- 3. a document- 4. [id-~ar] identification documents
att rösta;1. to vote (e.g. in an election- or poll of some kind)- 2. [att ~ på ngn] to vote for s.o.
riktig;real- proper
en rapport;a report- e.g. a news report
en lösning;1. a solution (in both senses)- 2. [bara en ~ på problemet] just one solution to the problem
personlig;personal (loan word)
att kommentera;to comment (loan word)
som att;1. like- as if- as- 2. [det är/var ~ + infinitiv] it is/was like + -ing 3. [det är ~ tala till en vägg ] it’s like talking to a wall
att gilla;to like
att bryta;1. to break- 2. to speak with a (foreign) accent- 3. [han ~er på tyska] he has a German accent
en hjälp;1. a help- 2. [tack för ~en!] thanks for your help!
juli;July
att innehålla;1. to contain- to include- 2. to withhold (e.g. a payment)
liknande;similar
ett tillfälle;1. an opportunity- 2. an occasion- 3. [vid flera ~en] on several occasions
inte ens;not even
känd;known- famous
att fatta;1. to grasp- to hold- 2. [att ~ tag i ngt] to get hold of sth.- 3. to understand- 4. [~ar du vad jag menar?] do you understand what I mean?- 5. [att ~ sig] to pull oneself together- to compose oneself
en jord;1. a soil- earth- 2. an earth- a world (as in our planet)- 3. a piece of land
en känsla;a feeling
en förändring;1. a change- an alteration- a variation- 2. [en klimat~] a climate change
att nämna;to mention- to name
tyvärr;unfortunately (not: "dessvärre")
enskild;individual- single- private
rätt;1. right- correct- 2. [att ha ~] to be right (about sth.)- 3. [du hade ~] you were right (particle)
att be;1. to beg- to ask- to request- 2. [att ~ om ursäkt] to apologize
en punkt;1. a dot- a point- 2. a period (punctuation)- 3. a point- matter- 4. a clause- a paragraph
en ändring;1. an alteration (e.g. of clothes)- 2. a modification- a revision- 3. a change- a transformation- 4. [en adress~] a change of address
en mission;a mission (loan word)
igår;yesterday
en kommission;a commission (loan word)
en ort;1. a place- 2. a village- a district- a neighbourhood- 3. [på ~ och ställe] on the spot- there and then- on site
att anta;to assume
trots att;despite (followed by a clause)
ett spel;1. a game- 2. [ett dator~] a computer game
ett språk;1. a language- 2. [ett främmande ~] a foreign language
att föreslå;to suggest- to propose
igenom;1. throughout- through (often used after a word referring to a time period)- 2. [hela natten ~] all night long- throughout the night
att undra;to wonder
eget;1. own- of my own (neuter)- 2. [att starta ~] to start your own business
ett möte;1. a meeting (e.g. business- or of a serious nature)- 2. [ett affärs~] a business meeting
en mat;1. a food- 2. [en kvälls~] an evening meal- 3. [snabb~] fast food- convenience food- 4. [att handla ~] to go food shopping- to shop for groceries
därefter;thereafter (afterwards)
efter;after
en match;a match- e.g. a football match (loan word)
en tro;a faith- a belief (in religious sense)
alldeles;1. entirely- completely- 2. [byxorna är ~ för stora] these trousers are far too long
lätt;1. easy- 2. light (not weighing much)- 3. slight- not serious- 4. [hon har ~ för språk] she finds it easy to learn languages
sann;true
en uppfattning;1. an understanding- 2. a perception (via senses)- 3. an interpretation- 5. [enligt min ~] in my opinion
en demokrat;a democrat (loan word)
ett bolag;1. a company- a firm- 2. [System~et] a state-owned Swedish chain store selling alcohol containing more than 3.5% alcohol
en erfarenhet;an experience (e.g. work experience)
en kritik;a criticism
en grad;1. a degree- an extent- 2. a degree (as in temperature or angle)
en jude;a Jew
vacker;1. beautiful- 2. [en ~ dag] one fine day- one of these fine days (i.e. at some point in the future)
att erbjuda;to offer
en kamp;1. a struggle- 2. a fight- a battle- 3. [~ för överlevnad] fight for survival
en period;a period- a length of time (loan word)
modern;modern (loan word)
en spelare;a player
en elev;a pupil- a student (loan word from French)
en utredning;1. an inquiry- an investigation- a report- an investigation committee- 2. [en mord~] a murder enquiry
att ingå;1. to be included- to be part of- 2. [det ~r i hans skyldigheter​ att ...] it is one of his duties to ...
en kung;a king (not: "en konung")
att bestå;1. to consist (of sth.)- 2. to last
hos;1. at the house/place of- 2. [~ oss] at our place- at our house- in my country
alltid;always
att skapa;to create- to make- to form
ett arbete;1. a work- a task- a job- a workplace- 2. a product (a piece of workmanship)- 3. labour
att kapa;1. to take- to capture- 2. to hijack an airplane- 3. to cut off sth.
samt;and- also- together
en blogg;a blog (loan word)
innan;before
som;as
ur;1. out- out of- 2. [ta händerna ~ fickan] take your hands out of your pockets!
att gälla;1. to be valid- to apply to- to have reference to- 2. [vad ~er saken?] (e.g. to a stranger at the door) What can I do for you? What's this about?
att verka;1. to work- to act- to serve- 2. to have an effect (e.g. drug)- to work- to act- 3. to seem- to give an impression- to come across (as)
att tala;1. to talk- to speak- 2. [~ sanning] to tell the truth
att bära;1. to carry- to bear (both literally and figuratively)- 2. to wear (clothes- glasses etc)- 3. to take- to bring- 4. (of path) to go- lead
för;1. too- 2. [mycket ~ gammal] much too old- 3. [~ lite] too little- not enough
en väg;1. a way- a road- 2. [ur ~en!] get out of the way!
ett samhälle;1. a society- a community- 2. a town- a place- 3. a colony of animals (bees- ants)
alltså;therefore- accordingly- ergo- thus- consequently (not: "därför")
en stat;1. a state (e.g. NY)- 2. [Amerikas Förenta ~erna] the United States of America (loan word)
en stad;a town- a city
att höra;1. to hear- 2. [att ~ musik] to listen to music- 3. to question- to interrogate- 4. to belong
att innebära;1. to imply- to mean- 2. to involve
genom att;by- by means of (the method whereby something is achieved)
ett företag;1. an enterprise- a company- a business- 2. an undertaking- a venture- a project
en möjlighet;1. an opportunity- a chance- 2. a possibility
en gräns;a border (e.g. between countries)
att lyssna;1. to listen- 2. [~ på mig nu!] listen to me now!
att delta;1. to participate- to take part in- to attend- 2. to join in
ett samarbete;a collaboration- a partnership
annars;1. otherwise- or else- 2. by the way- incidentally- 3. [~ dör du!] or else you’ll die!
att falla;1. to fall- 2. [att ~ sig] to happen- to happen by chance- to be
nära;1. near- close- 2. [en mycket ~ vän] a very close friend
ett rum;1. a room- 2. [~met var lågt i tak] the room had a low ceiling
ungefär;1. approximately- roughly- 2. [~ samma sak] roughly the same thing
att starta;1. to take off (flying)- 2. to start a journey- to set off- 3. to start- to launch- to set up
att inse;1. to see- to perceive- to understand- 2. to realize- to become aware- 3. [jag ~er fullkomligt att] I fully realize that
internet;internet
ett hov;a court (of a king or queen)
öppen;open
att bidra;to contribute
en död;1. a dead person- 2. a death- a demise
att luta;to lean
ett öga;1. an eye- 2. [med blotta ~t] with the naked eye
säkert;1. certainly- undoubtedly- 2. most likely- probably- 3. safely- 4. securely- steadily- firmly
ett ämne;1. a subject (at school)- a field- 2. a substance
få;few
augusti;August
en socialdemokrat;a social democrat
ett projekt;1. a project- 2. [att genomföra ett ~] to carry out a project
övrig;other- remaining
ett svar;1. an answer- 2. [men jag fick inget ~] but I didn't get an answer
varenda;each and every- every single- each one
istället;instead
först;first
att arbeta;to work (formal- written Swedish)
heller;1. either- neither- 2. [inte jag ~] me neither
riktigt;1. correctly- properly- 2. (as intensifier) very- extremely etc
en hand, två händer;1. a hand- two hands- 2. [ett fast ~slag] a firm handshake- 3. [ta ~ om din planet] take care of your planet
en uppgift;1. a job- task- assignment- 2. a mission- an aim- 3. (an) information- 4. [person~er] personal details- personal information
att fungera;to function- to work
att beta;1. to graze (animals)- 2. to disinfect- 3. [att ~ av] to deal with- to tick items off a list
att köpa;to buy
nästan;almost
bra;1. well (done in a good way)- 2. [ ~ jobbat!] well done! good job!
bland;among
december;December
att sitta;1. to sit- 2. to be- 3. to fit- to be the right size (clothes)- 4. [det skulle ~ bra med en kopp kaffe] a cup of coffee would be nice- 5. [att ~ hårt åt] to be very tight (clothes- shoes)
precis;1. precisely- exactly- just- 2. on time- 3. just now
hennes;1. her (belonging to her)- hers- 2. [en present från ~ mor] a present from her mother
att åta sig;to commit oneself- to take on a commitment- to undertake
bland annat;among other things
ett krig;1. a war- 2. [det kalla ~et] the Cold War
till exempel;for example
tillsammans;1. together- altogether- 2. in all- jointly- 3. [hej ~!] hi everybody! hello everyone! (not: "ihop" or "samman")
henne;1. her- 2. [jag såg ~ igår] I saw her yesterday
en forskning;a research
en kraft;1. an energy- a power- a force- 2. strength- 3. a person doing a job- a worker (not a loan word)
helt enkelt;quite simply
ett brott;1. a crime (specific incident)- 2. a breach (of etiquette)- 3. a (bone) fracture- 5. [att begå (ett) ~] to commit a crime
exempelvis;by way of example- for example (not "till exempel")
en röst;1. a voice- 2. a vote- 3. [med låg ~] in a low voice- quietly- [med hög ~] in a loud voice- loudly
att bjuda;1. to offer- to serve- to entertain- 2. to ask- to invite (s.o. to sth.)- 3. to treat (s.o. to sth.)- 4. to bid- to make an offer (auction- card game)
till och med;1. up to and including- 2. even (contrary to expectations)
att hävda;to maintain- to claim- to assert- to argue (formal- stronger than "att påstå")
att hamna;to land- to end up
en effekt;1. an effect- a result- 2. (technical) power- 3. [~er] effects- belongings- property- 4. [kvarglömda ~er] lost property
en enhet;a unit
det vill säga;that is- i.e.- namely
en kontakt;1. a contact- 2. (electric) a contact- a plug- a wall socket- 3. [att ta ~ med] to get in touch with- to contact (loan word)
en takt;1. a rate- 2. a pace- 3. a beat- 4. a tact- a tactfulness- 5. [det är ~er i henne] she is full of pep
ett värde;a value- a worth
en förutsättning;1. a prerequisite- a requirement- 2. a condition
en sats;1. a clause (grammar)- 2. a batch- 3. a run- a jump- 4. a movement (in music)- 5. a typeface
en medlemsstat;a member state
att hinna;1. to accomplish- to get done- 2. to have the time to do sth.- to manage to do sth.- 3. to get to a place on time- 4. [att ~ med tåget] to catch the train
en sanning;1. a truth- 2. [att tala ~] to tell the truth
en religion;a religion (loan word)
en källa;1. a source- 2. [en ständig ~ till bekymmer] a constant source of worry
att må;to feel (of health)
en kostnad;1. a cost- 2. an outlay- an expense- 3. a charge: 4. [rese~er] travelling expenses
en medborgare;1. a citizen- 2. [han blev svensk ~] he became a Swedish citizen
ett förhållande;a relationship (not a loan word)
en far;a father
en miljard;a billion
en ungdom;1. a young person (male or female)- 2. youth (i.e. the time when one was young)- adolescence
att släppa;1. to let go- to release- to set free- 2. to drop- to let go of- 3. to give up- to abandon- 4. to come off
enbart;1. solely- entirely- exclusively- 2. merely- 3. simply- 4. wholly- 5. [det vore ~ glädjande] it would give me nothing but pleasure
ett drag;1. a pull- a tug- 2. a move (e.g. in a game)- 3. a feature- a characteristic- 4. a touch- 5. a draught (of air)- a gulp (of a drink)
